Date,PCE Value
2/1/85,2640.8
3/1/85,2648.5
4/1/85,2659.5
5/1/85,2696.4
6/1/85,2689.4
7/1/85,2715.7
8/1/85,2752.1
9/1/85,2794.7
10/1/85,2755.8
11/1/85,2771.1
12/1/85,2811.3
1/1/86,2827.1
2/1/86,2820.2
3/1/86,2823.6
4/1/86,2835.2
5/1/86,2857.5
6/1/86,2861.7
7/1/86,2881.2
8/1/86,2898.6
9/1/86,2971.8
10/1/86,2932.9
11/1/86,2928.4
12/1/86,2997.1
1/1/87,2935.5
2/1/87,3001.7
3/1/87,3013.3
4/1/87,3038.8
5/1/87,3048.4
6/1/87,3072.8
7/1/87,3094.7
8/1/87,3130.8
9/1/87,3126.5
10/1/87,3134.5
11/1/87,3144.2
12/1/87,3174.1
1/1/88,3213.7
2/1/88,3221.4
3/1/88,3260.5
4/1/88,3263
5/1/88,3293.6
6/1/88,3318.5
7/1/88,3342.7
8/1/88,3368
9/1/88,3375
10/1/88,3413.7
11/1/88,3430.2
12/1/88,3459.7
1/1/89,3483.7
2/1/89,3488
3/1/89,3498.8
4/1/89,3543
5/1/89,3551.8
6/1/89,3566.6
7/1/89,3585.7
8/1/89,3620.6
9/1/89,3621.9
10/1/89,3633.6
11/1/89,3643.3
12/1/89,3684.2
1/1/90,3730.7
2/1/90,3728.2
3/1/90,3754.9
4/1/90,3770
5/1/90,3775.8
6/1/90,3804.5
7/1/90,3821.7
8/1/90,3848.3
9/1/90,3870.1
10/1/90,3870.6
11/1/90,3871.9
12/1/90,3861.3
1/1/91,3841
2/1/91,3866.7
3/1/91,3913
4/1/91,3907.1
5/1/91,3933.2
6/1/91,3940.5
7/1/91,3966
8/1/91,3969.1
9/1/91,3984.7
10/1/91,3976
11/1/91,4003.6
12/1/91,4020.5
1/1/92,4084.7
2/1/92,4099.5
3/1/92,4117
4/1/92,4131.5
5/1/92,4158.4
6/1/92,4177.1
7/1/92,4204.8
8/1/92,4220.9
9/1/92,4255.3
10/1/92,4284.7
11/1/92,4300.5
12/1/92,4336.4
1/1/93,4340.7
2/1/93,4355.3
3/1/93,4352.5
4/1/93,4393.4
5/1/93,4422.4
6/1/93,4440
7/1/93,4468.9
8/1/93,4481.1
9/1/93,4511.5
10/1/93,4532.8
11/1/93,4554.1
12/1/93,4571.1
1/1/94,4585.1
2/1/94,4632.6
3/1/94,4646
4/1/94,4671.1
5/1/94,4669.5
6/1/94,4708.9
7/1/94,4720.6
8/1/94,4762.6
9/1/94,4775
10/1/94,4812.9
11/1/94,4825.6
12/1/94,4841.6
1/1/95,4851.2
2/1/95,4850.8
3/1/95,4885.4
4/1/95,4890.2
5/1/95,4933.1
6/1/95,4977.5
7/1/95,4970.2
8/1/95,5005.3
9/1/95,5020.5
10/1/95,5013.9
11/1/95,5055.6
12/1/95,5097.5
1/1/96,5085.7
2/1/96,5132.8
3/1/96,5173.3
4/1/96,5208
5/1/96,5223.8
6/1/96,5229.8
7/1/96,5251.9
8/1/96,5275
9/1/96,5296.6
10/1/96,5328.5
11/1/96,5351.2
12/1/96,5378.6
1/1/97,5411.1
2/1/97,5434
3/1/97,5454.2
4/1/97,5459.3
5/1/97,5460.2
6/1/97,5494.2
7/1/97,5548.8
8/1/97,5587
9/1/97,5601.7
10/1/97,5637.7
11/1/97,5661.1
12/1/97,5692.1
1/1/98,5689.9
2/1/98,5723.8
3/1/98,5750.3
4/1/98,5788.1
5/1/98,5837.9
6/1/98,5871.7
7/1/98,5890
8/1/98,5925
9/1/98,5965.6
10/1/98,5998.8
11/1/98,6015.4
12/1/98,6070.5
1/1/99,6072.9
2/1/99,6101.8
3/1/99,6132.9
4/1/99,6196.2
5/1/99,6225.7
6/1/99,6254
7/1/99,6281.5
8/1/99,6326.5
9/1/99,6378.8
10/1/99,6402.1
11/1/99,6437.9
12/1/99,6538.7
1/1/00,6535.3
2/1/00,6619.7
3/1/00,6685.8
4/1/00,6671.1
5/1/00,6707.6
6/1/00,6743.9
7/1/00,6764.1
8/1/00,6799.1
9/1/00,6882.9
10/1/00,6888.2
11/1/00,6902.4
12/1/00,6945.7
1/1/01,6977
2/1/01,6995.8
3/1/01,6987.9
4/1/01,7001.2
5/1/01,7047.1
6/1/01,7060.7
7/1/01,7072.2
8/1/01,7108.9
9/1/01,7012.8
10/1/01,7208.4
11/1/01,7167.9
12/1/01,7147.7
1/1/02,7174.3
2/1/02,7218.3
3/1/02,7237.2
4/1/02,7305.4
5/1/02,7282.7
6/1/02,7318.2
7/1/02,7380.4
8/1/02,7401.5
9/1/02,7391
10/1/02,7430.7
11/1/02,7459.7
12/1/02,7512.8
1/1/03,7533.1
2/1/03,7535.9
3/1/03,7598.4
4/1/03,7621
5/1/03,7628.1
6/1/03,7678.6
7/1/03,7738.2
8/1/03,7834.5
9/1/03,7835
10/1/03,7845.7
11/1/03,7899.6
12/1/03,7929.2
1/1/04,7987.4
2/1/04,8019.8
3/1/04,8076
4/1/04,8088.6
5/1/04,8163.2
6/1/04,8147.2
7/1/04,8218.9
8/1/04,8253.1
9/1/04,8321.1
10/1/04,8374.6
11/1/04,8420.6
12/1/04,8481.5
1/1/05,8470.2
2/1/05,8529.2
3/1/05,8569.5
4/1/05,8645.6
5/1/05,8643.9
6/1/05,8724.8
7/1/05,8829.5
8/1/05,8832.4
9/1/05,8885.8
10/1/05,8926.6
11/1/05,8938.5
12/1/05,8969.6
1/1/06,9059.8
2/1/06,9090.1
3/1/06,9122.1
4/1/06,9174.8
5/1/06,9215.1
6/1/06,9240.8
7/1/06,9322.6
8/1/06,9321.8
9/1/06,9354.7
10/1/06,9373.2
11/1/06,9380.2
12/1/06,9469
1/1/07,9516.3
2/1/07,9546.8
3/1/07,9585.1
4/1/07,9615.7
5/1/07,9651.3
6/1/07,9667.3
7/1/07,9709.6
8/1/07,9753.9
9/1/07,9797.9
10/1/07,9827
11/1/07,9897.8
12/1/07,9908.4
1/1/08,9930
2/1/08,9913.4
3/1/08,9959.4
4/1/08,9996.8
5/1/08,10053.8
6/1/08,10107.9
7/1/08,10104.7
8/1/08,10094.7
9/1/08,10043.5
10/1/08,9960.3
11/1/08,9820.8
12/1/08,9730.7
1/1/09,9783.8
2/1/09,9766
3/1/09,9718.5
4/1/09,9724.8
5/1/09,9748.9
6/1/09,9806.9
7/1/09,9841.7
8/1/09,9961
9/1/09,9883.4
10/1/09,9931.9
11/1/09,9940.5
12/1/09,9998.9
1/1/10,10001.8
2/1/10,10030.6
3/1/10,10089.1
4/1/10,10112.9
5/1/10,10131
6/1/10,10151.4
7/1/10,10184.7
8/1/10,10228.2
9/1/10,10249
10/1/10,10304.7
11/1/10,10354.7
12/1/10,10392.1
1/1/11,10435.5
2/1/11,10470.1
3/1/11,10550.5
4/1/11,10587.6
5/1/11,10612
6/1/11,10636.8
7/1/11,10677.5
8/1/11,10700.6
9/1/11,10738.1
10/1/11,10753.1
11/1/11,10759.5
12/1/11,10772.2
1/1/12,10862.1
2/1/12,10953.5
3/1/12,10951.8
4/1/12,10979.7
5/1/12,10968.6
6/1/12,10946.3
7/1/12,10977.2
8/1/12,11004.1
9/1/12,11061.5
10/1/12,11099.8
11/1/12,11136.8
12/1/12,11140.5
1/1/13,11202.8
2/1/13,11239.6
3/1/13,11227.1
4/1/13,11205.4
5/1/13,11244.6
6/1/13,11268.8
7/1/13,11296.7
8/1/13,11329.2
9/1/13,11366.9
10/1/13,11419.8
11/1/13,11487.6
12/1/13,11517.9
1/1/14,11503.7
2/1/14,11574.5
3/1/14,11644.5
4/1/14,11707.1
5/1/14,11750.9
6/1/14,11812.7
7/1/14,11858.1
8/1/14,11939.1
9/1/14,11948.8
10/1/14,12018.4
11/1/14,12050.2
12/1/14,12065
1/1/15,12046.1
2/1/15,12098.3
3/1/15,12152.8
4/1/15,12196.3
5/1/15,12264.5
6/1/15,12305.8
7/1/15,12366.1
8/1/15,12400.9
9/1/15,12400.9
10/1/15,12409.3
11/1/15,12446.3
12/1/15,12482.4
1/1/16,12506
2/1/16,12579.3
3/1/16,12569.7
4/1/16,12649.4
5/1/16,12696.1
6/1/16,12777
7/1/16,12794.2
8/1/16,12836
9/1/16,12893.2
10/1/16,12922.7
11/1/16,12957.8
12/1/16,13058
1/1/17,13122.2
2/1/17,13140.9
3/1/17,13196.5
4/1/17,13222.2
5/1/17,13225.7
6/1/17,13275.9
7/1/17,13301.3
8/1/17,13344.5
9/1/17,13466.9
10/1/17,13503.5
11/1/17,13593.7
12/1/17,13690.9
1/1/18,13716.5
2/1/18,13738.4
3/1/18,13811.8
4/1/18,13875.8
5/1/18,13953.7
6/1/18,13990.1
7/1/18,14048.3
8/1/18,14102.2
9/1/18,14108.3
10/1/18,14193.8
11/1/18,14249.7
12/1/18,14130.8
1/1/19,14223.7
2/1/19,14236.1
3/1/19,14370
4/1/19,14443.2
5/1/19,14493
6/1/19,14555.8
7/1/19,14611.9
8/1/19,14650.9
9/1/19,14673.2
10/1/19,14728.5
11/1/19,14752.8
12/1/19,14796.3
1/1/20,14880.5
2/1/20,14877.4
3/1/20,13878.5
4/1/20,12112.1
5/1/20,13165.4
6/1/20,14014.6
7/1/20,14224.7
8/1/20,14397.2
9/1/20,14582.7
10/1/20,14627.1
11/1/20,14532.8
12/1/20,14451.1
1/1/21,14921.1
2/1/21,14774
3/1/21,15515.3
4/1/21,15656.4
5/1/21,15659.3
