Date,Open,High,Low,Close,d/d % change,,,
7/7/21,"34,604.17","34,708.78","34,435.59","34,681.79",0.30%,,,
7/6/21,"34,790.16","34,814.20","34,358.42","34,577.37",-0.60%,,,
7/2/21,"34,642.42","34,821.93","34,613.49","34,786.35",0.44%,,,
7/1/21,"34,507.32","34,640.28","34,498.85","34,633.53",0.38%,,,
6/30/21,"34,290.74","34,553.16","34,245.48","34,502.51",0.61%,,,
6/29/21,"34,338.89","34,469.83","34,266.83","34,292.29",0.03%,,,
6/28/21,"34,428.10","34,449.65","34,186.13","34,283.27",-0.44%,,,
6/25/21,"34,328.10","34,501.02","34,314.80","34,433.84",0.69%,,,
6/24/21,"33,933.91","34,233.02","33,933.91","34,196.82",0.95%,,,
6/23/21,"33,948.54","34,009.40","33,869.83","33,874.24",-0.21%,,,
6/22/21,"33,872.56","34,040.70","33,751.06","33,945.58",0.20%,,,
6/21/21,"33,312.07","33,908.09","33,312.07","33,876.97",1.76%,,,
6/18/21,"33,622.70","33,622.70","33,271.93","33,290.08",-1.58%,,,
6/17/21,"34,014.38","34,091.79","33,626.61","33,823.45",-0.62%,,,
6/16/21,"34,308.48","34,333.25","33,917.11","34,033.67",-0.77%,,,
6/15/21,"34,397.10","34,420.38","34,199.16","34,299.33",-0.27%,,,
6/14/21,"34,472.52","34,472.52","34,211.54","34,393.75",-0.25%,,,
6/11/21,"34,499.81","34,618.09","34,328.65","34,479.60",0.04%,,,
6/10/21,"34,502.51","34,737.79","34,447.25","34,466.24",0.06%,,,
6/9/21,"34,626.16","34,654.67","34,439.37","34,447.14",-0.44%,,,
6/8/21,"34,645.84","34,665.38","34,452.94","34,599.82",-0.09%,,,
6/7/21,"34,766.20","34,820.91","34,574.51","34,630.24",-0.36%,,,
6/4/21,"34,618.69","34,772.12","34,618.69","34,756.39",0.52%,,,
6/3/21,"34,550.31","34,667.41","34,334.41","34,577.04",-0.07%,,,
6/2/21,"34,614.62","34,706.65","34,545.96","34,600.38",0.07%,,,
6/1/21,"34,584.19","34,849.32","34,542.87","34,575.31",0.13%,,,
5/28/21,"34,558.50","34,631.11","34,520.09","34,529.45",0.19%,,,
5/27/21,"34,432.47","34,608.82","34,389.24","34,464.64",0.41%,,,
5/26/21,"34,336.34","34,409.59","34,271.44","34,323.05",0.03%,,,
5/25/21,"34,428.66","34,511.35","34,266.03","34,312.46",-0.24%,,,
5/24/21,"34,253.87","34,472.51","34,253.87","34,393.98",0.54%,,,
5/21/21,"34,121.91","34,415.48","34,121.91","34,207.84",0.36%,,,
5/20/21,"33,906.30","34,233.40","33,872.41","34,084.15",0.55%,,,
5/19/21,"33,945.81","33,945.81","33,473.80","33,896.04",-0.48%,,,
5/18/21,"34,351.18","34,408.99","34,044.10","34,060.66",-0.78%,,,
5/17/21,"34,375.29","34,383.84","34,176.65","34,327.79",-0.16%,,,
5/14/21,"34,050.86","34,454.05","34,050.86","34,382.13",1.06%,,,
5/13/21,"33,624.74","34,181.77","33,623.49","34,021.45",1.29%,,,
5/12/21,"34,206.40","34,207.87","33,555.22","33,587.66",-1.99%,,,
5/11/21,"34,572.74","34,572.74","34,075.31","34,269.16",-1.36%,,,
5/10/21,"34,785.27","35,091.56","34,741.57","34,742.82",-0.10%,,,
5/7/21,"34,578.27","34,811.39","34,464.31","34,777.76",0.66%,,,
5/6/21,"34,245.11","34,561.29","34,185.06","34,548.53",0.93%,,,
5/5/21,"34,163.99","34,331.20","34,039.66","34,230.34",0.29%,,,
5/4/21,"34,080.20","34,147.78","33,765.68","34,133.03",0.06%,,,
5/3/21,"33,904.89","34,221.06","33,904.89","34,113.23",0.70%,,,
4/30/21,"33,988.75","33,988.75","33,784.96","33,874.85",-0.54%,,,
4/29/21,"33,855.64","34,087.21","33,744.28","34,060.36",0.71%,,,
4/28/21,"33,860.46","33,946.60","33,805.56","33,820.38",-0.48%,,,
4/27/21,"33,932.13","34,043.98","33,870.46","33,984.93",0.01%,,,
4/26/21,"34,044.23","34,148.94","33,941.37","33,981.57",-0.18%,,,
4/23/21,"33,804.52","34,157.57","33,713.29","34,043.49",0.67%,,,
4/22/21,"34,109.88","34,126.57","33,717.19","33,815.90",-0.94%,,,
4/21/21,"33,808.30","34,160.34","33,773.80","34,137.31",0.93%,,,
4/20/21,"34,034.18","34,034.18","33,687.01","33,821.30",-0.75%,,,
4/19/21,"34,182.38","34,182.38","33,980.56","34,077.63",-0.36%,,,
4/16/21,"34,058.16","34,256.75","34,058.16","34,200.67",0.48%,,,
4/15/21,"33,788.53","34,068.73","33,788.53","34,035.99",0.90%,,,
4/14/21,"33,668.95","33,911.25","33,668.95","33,730.89",0.16%,,,
4/13/21,"33,721.16","33,741.64","33,545.84","33,677.27",-0.20%,,,
4/12/21,"33,775.06","33,786.19","33,665.54","33,745.40",-0.16%,,,
4/9/21,"33,526.19","33,810.87","33,526.19","33,800.60",0.89%,,,
4/8/21,"33,469.89","33,506.80","33,342.64","33,503.57",0.17%,,,
4/7/21,"33,444.98","33,521.76","33,347.96","33,446.26",0.05%,,,
4/6/21,"33,500.02","33,544.79","33,380.43","33,430.24",-0.29%,,,
4/5/21,"33,222.38","33,617.95","33,222.38","33,527.19",1.13%,,,
4/1/21,"33,054.58","33,167.17","32,985.35","33,153.21",0.52%,,,
3/31/21,"33,116.04","33,173.77","32,980.57","32,981.55",-0.26%,,,
3/30/21,"33,127.88","33,170.93","32,988.92","33,066.96",-0.31%,,,
3/29/21,"33,087.55","33,259.00","32,905.13","33,171.37",0.30%,,,
3/26/21,"32,681.07","33,098.83","32,681.07","33,072.88",1.39%,,,
3/25/21,"32,346.81","32,672.69","32,071.41","32,619.48",0.62%,,,
3/24/21,"32,470.88","32,787.99","32,418.15","32,420.06",-0.01%,,,
3/23/21,"32,691.50","32,753.77","32,356.28","32,423.15",-0.94%,,,
3/22/21,"32,601.82","32,810.35","32,512.53","32,731.20",0.32%,,,
3/19/21,"32,858.36","32,858.36","32,505.07","32,627.97",-0.71%,,,
3/18/21,"32,928.16","33,227.78","32,831.25","32,862.30",-0.46%,,,
3/17/21,"32,825.52","33,047.58","32,782.18","33,015.37",0.58%,,,
3/16/21,"32,966.75","32,966.75","32,778.23","32,825.95",-0.39%,,,
3/15/21,"32,798.84","32,973.40","32,629.75","32,953.46",0.53%,,,
